Time,output
1836,0.43
1837,0.43
1838,0.43
1839,0.43
1840,0.44
1841,0.43
1842,0.43
1843,0.43
1844,0.09
1845,0.11
1846,0.08
1847,0.09
1848,0.14
1849,0.15
1850,0.14
1851,0.18
1852,0.17
1853,0.17
1854,0.16
1855,0.2
1856,0.19
1857,0.2
1858,0.2
1859,0.2
1900,0.18
1300,4465.05
1301,4461.09
1302,4466.39
1303,4451.24
1304,4435.22
1305,4439.32
1306,4426.55
1307,4417.99
1308,4425.58
1309,4413.76
1310,4504.28
1311,4495.51
1312,4493.99
1313,4486.75
1314,4469.07
1315,4454.58
1316,4452.97
1317,4441.69
1318,4444.13
1319,4445.83
1320,4451.44
1321,4441.32
1322,4426.2
1323,4421.62
1324,4411.31
1325,4410.06
1326,4392.78
1327,4378.23
1328,4374.53
1329,4374.93
1330,4369.7
1331,4365.23
1332,4359.99
1333,4348.41
1334,4337.58
1335,4332.2
1336,4328.58
1337,4320.16
1338,4290.93
1339,4285.37
1340,4281.53
1341,4255.38
1342,4247.02
1343,4224.99
1344,4219.51
1345,4224.77
1346,4223.72
1347,4225.84
1348,4217.53
1349,4218.2
1350,4206.22
1351,4191.07
1352,4174.74
1353,4157.68
1354,4131.59
1355,4146.81
1356,4146.58
1357,4126.11
1358,4123.22
1359,4111.86
1400,4122.46
1401,4103.19
1402,4081.36
1403,4076.55
1404,4074.07
1405,4071.74
1406,4063.12
1407,4036.17
1408,4022.25
1409,4008
1410,3997.04
1411,3982.63
1412,3986.14
1413,3970.7
1414,3950.74
1415,3938.92
1416,3934.33
1417,3920.82
1418,3918.05
1419,3911.3
1420,3914.59
1421,3900.32
1422,3882.5
1423,3889.69
1424,3878.02
1425,3876.54
1426,3871.14
1427,3845.99
1428,3832.24
1429,3846.13
1430,3817.2
1431,3793.25
1432,3775.17
1433,3763.58
1434,3751.83
1435,3746.24
1436,3749.59
1437,3727.79
1438,3709.1
1439,3689.49
1440,3684.11
1441,3677.89
1442,3664.33
1443,3653.21
1444,3636.34
1445,3617.03
1446,3603.74
1447,3592.09
1448,3579.57
1449,3561.6
1450,3552.56
1451,3537.51
1452,3526.36
1453,3518.3
1454,3502.42
1455,3492.97
1456,3481.25
1457,3454.29
1458,3436.54
1459,3420.63
1500,3409.85
1501,3398.83
1502,3383.22
1503,3363.86
1504,3359.69
1505,3349.11
1506,3337.15
1507,3326.46
1508,3313.73
1509,3302.43
1510,3283.67
1511,3268.27
1512,3260.5
1513,3251.62
1514,3233.29
1515,3209.74
1516,3185.25
1517,3174.18
1518,3164.49
1519,3131.46
1520,3140.53
1521,3114.77
1522,3088.63
1523,3080.67
1524,3067.73
1525,3064.1
1526,3054.67
1527,3043.5
1528,3023.28
1529,3011.81
1530,2987.32
1531,2964.78
1532,2942.49
1533,2925.71
1534,2924.36
1535,2929.63
1536,2903.73
1537,2879.95
1538,2870.09
1539,2852.78
1540,2843.31
1541,2830.93
1542,2814.23
1543,2795.03
1544,2768.41
1545,2747.48
1546,2738.14
1547,2728.1
1548,2708.55
1549,2702.22
1550,2683.72
1551,2669.79
1552,2663.13
1553,2642.53
1554,2606.33
1555,2572.08
1556,2555.95
1557,2538.07
1558,2526.09
1559,2511.71
1600,2493.82
1601,2484.67
1602,2471.21
1603,2446.1
1604,2428.48
1605,2416
1606,2399.01
1607,2376.36
1608,2346.09
1609,2326.64
1610,2309.95
1611,2294.68
1612,2285.88
1613,2275.69
1614,2251.89
1615,2231.86
1616,2220.76
1617,2192.96
1618,2173.86
1619,2156.65
1620,2136.77
1621,2116.47
1622,2091.84
1623,2079.02
1624,2057.66
1625,2038.11
1626,2012.72
1627,1983.38
1628,1977.33
1629,1963.11
1630,1942.87
1631,1926.1
1632,1908.98
1633,1881.77
1634,1857.27
1635,1843.66
1636,1830.09
1637,1816.74
1638,1801.59
1639,1789.66
1640,1776.43
1641,1749.42
1642,1730.82
1643,1722.27
1644,1678.77
1645,1658.39
1646,1633.5
1647,1611.99
1648,1584.86
1649,1566.65
1650,1546.58
1651,1531.1
1652,1511.12
