Time,output
953,3951.86
954,3972.31
955,3965.98
956,3972.44
957,3969.88
958,3983.77
959,3996.86
1000,3990.31
1001,3993.58
1002,4020.41
1003,4033.6
1004,4040.61
1005,4046.6
1006,4061.47
1007,4051.87
1008,4057.95
1009,4072.31
1010,4077.64
1011,4096.93
1012,4078.54
1013,4061.57
1014,4076.64
1015,4085.9
1016,4079
1017,4090.67
1018,4076.38
1019,4004.16
1020,4035.31
1021,4056.62
1022,4048.03
1023,4055.39
1024,4065.35
1025,4062.55
1026,4073.66
1027,4069.04
1028,4077.21
1029,4101.44
1030,4112.25
1031,4123.31
1032,4134.07
1033,4134.79
1034,4139.47
1035,4146.01
1036,4142.78
1037,4155.02
1038,4155.55
1039,4160.99
1040,4178.21
1041,4171.57
1042,4181.02
1043,4180.86
1044,4157.56
1045,4152.95
1046,4169.21
1047,4179.16
1048,4178.74
1049,4194.3
1050,4197.11
1051,4172.92
1052,4178.03
1053,4183.24
1054,4187.25
1055,4175.78
1056,4199.67
1057,4184.24
1058,4188.45
1059,4187.2
1100,4205.02
1101,4199.25
1102,4208.52
1103,4198.69
1104,4208.47
1105,4201.54
1106,4223.42
1107,4231.73
1108,4208.24
1109,4196.75
1110,4207.84
1111,4210.69
1112,4213.49
1113,4240.23
1114,4227.82
1115,4224.4
1116,4221.1
1117,4211.17
1118,4126.4
1119,4131.52
1120,4124.49
1121,4122.96
1122,4123.13
1123,4130.31
1124,4128.8
1125,4131.29
1126,4139.06
1127,4137.35
1128,4141.69
1129,4149.77
1130,4153.52
1131,4145.7
1132,4156.67
1133,4154.52
1134,4150.23
1135,4146.62
1136,4158
1137,4154.35
1138,4151.92
1139,4148.04
1140,4141.54
1141,4161.36
1142,4128.37
1143,4145.69
1144,4250.24
1145,4190.39
1146,4235.02
1147,4218.78
1148,4226.81
1149,4232.58
1150,4231.25
1151,4202.93
1152,4220.56
1153,4223.69
1154,4185.94
1155,4200.56
1156,4180.21
1157,4198
1158,4207.4
1159,4214.15
1200,4215.9
1201,4202.11
1202,4205.03
1203,4204.1
1204,4204.44
1205,4218.19
1206,4178.3
1207,4142.33
1208,4171.18
1209,4179.12
1210,4168.05
1211,4179.43
1212,4179.78
1213,4178.54
1214,4149.03
1215,4133.57
1216,4168.42
1217,4173.44
1218,4147.27
1219,4136.27
1220,4163.94
1221,4143.59
1222,4133.81
1223,4175.13
1224,4590.63
1225,4597.44
1226,4583.72
1227,4575.38
1228,4576.71
1229,4562
1230,4536.72
1231,4538.16
1232,4558.48
1233,4560.1
1234,4543.61
1235,4552.83
1236,4593.54
1237,4568.57
1238,4561.78
1239,4542.47
1240,4542.02
1241,4555.51
1242,4541.71
1243,4506.7
1244,4503.46
1245,4502.13
1246,4493.36
1247,4491.88
1248,4498.11
1249,4493.4
1250,4480.72
1251,4465.33
1252,4432.84
1253,4435.43
1254,4443.72
1255,4438.11
1256,4439.26
1257,4434.37
1258,4445.89
1259,4433.03
400,0.25
401,0.26
402,0.24
403,0.2
404,0.25
405,0.25
406,0.24
407,0.25
408,0.25
409,0.24
410,0.24
411,0.24
412,0.25
413,0.25
414,0.23
415,0.25
416,0.24
417,0.24
418,0.24
419,0.24
420,0.23
421,0.25
422,0.23
423,0.25
424,0.24
425,0.25
426,0.24
427,0.24
428,0.24
429,0.24
430,0.23
431,0.25
432,0.24
433,0.25
434,0.25
435,0.24
436,0.24
437,0.24
438,0.23
439,0.22
