,Time,Actual,predicted
94,1319,570.01,2756.896921109662
95,1458,2586.08,2013.7371606932165
96,1748,304.0,463.2599627020718
97,1539,3160.37,1580.6728398750001
98,1808,10.81,142.47157691080065
99,1541,2714.27,1569.979893681957
100,1619,56.66,1152.9549921533053
101,1326,1004.4,2719.471609434013
102,1727,1174.76,575.535897729018
103,1539,2346.09,1580.6728398750001
104,1321,3727.1,2746.203974916619
105,1842,0.15,-39.3085083709193
106,1754,210.79,431.1811241229443
107,1354,1005.79,2569.7703627314195
108,1339,1168.34,2649.967459179238
109,1459,1244.75,2008.390687596695
110,1728,1154.77,570.1894246324955
111,1811,126.65,126.43215762123691
112,1503,2024.94,1773.1458713497632
113,1438,3795.24,2120.6666226236403
114,1419,1064.72,2222.2496114575424
115,1805,136.99,158.5109962003644
116,1732,426.05,548.8035322464111
117,1824,9.74,56.928007366461316
118,1408,3747.35,2281.060815519276
119,1310,109.33,2805.015178978352
120,1325,3015.51,2724.8180825305344
121,1621,1996.03,1142.2620459602622
122,1658,536.9,944.4425413889785
123,1519,1328.29,1687.6023018054238
124,1314,2345.03,2783.629286592268
125,1352,3708.61,2580.4633089244626
126,1543,2271.43,1559.2869474889158
127,1626,2496.98,1115.5296804776572
128,1752,218.22,441.8740703159874
129,1605,2487.23,1227.8056155046015
130,1650,1580.62,987.2143261611491
131,1545,2788.12,1548.5940012958727
132,1850,0.1,-82.08029314308806
133,1400,394.12,2323.8326002914455
134,1545,2325.2,1548.5940012958727
135,1552,1564.55,1511.1686896202245
136,1548,214.76,1532.554582006309
137,1526,2965.07,1650.1769901297757
138,1753,339.13,436.52759721946677
139,1831,0.09,19.502695690813198
140,1858,0.16,-124.85207791525863
141,1750,95.6,452.5670165090305
142,1355,1014.87,2564.423889634899
143,1736,320.26,527.4176398603267
144,1429,974.21,2168.7848804923306
145,1401,4172.48,2318.486127194924
146,1855,0.1,-108.8126586256949
147,1751,6.96,447.22054341250805
148,1551,2632.54,1516.5151627167452
149,1713,299.99,650.3865210803142
150,1445,3272.76,2083.241310947992
151,1545,2333.74,1548.5940012958727
152,1349,3685.84,2596.5027282140254
153,1748,411.69,463.2599627020718
154,1319,2297.8,2756.896921109662
155,1725,1229.48,586.2288439220592
156,1851,0.05,-87.42676623961052
157,1809,264.36,137.12510381428
158,1840,12.12,-28.6155621778762
159,1833,4.1,8.809749497771918
160,1835,3.09,-1.883196695271181
